40001;10001;03/12/2018;09:37:01;2;50.0;1;60001
40002;10001;03/12/2018;09:50:49;3;75.0;1;60002
40003;10001;03/12/2018;09:57:11;123;3075.0;1;60003
40004;10002;03/12/2018;13:26:44;3;75.0;1;60004
40005;10001;03/12/2018;17:10:40;32;800.0;0;60005
40006;10002;03/12/2018;18:35:20;32;800.0;0;60006
40007;10003;03/12/2018;18:38:22;213;5325.0;1;60007
40008;10003;03/12/2018;20:18:32;14;350.0;0;60008
40009;10004;03/12/2018;23:11:14;12;300.0;0;60009
40010;10005;03/12/2018;23:32:07;3;75.0;0;60010
40011;10006;03/12/2018;23:32:30;6;150.0;1;60011
40012;10007;04/12/2018;01:30:49;12;300.0;1;60012
40013;10008;03/09/2020;18:49:21;2;50.0;1;60013
40014;10009;06/09/2020;11:40:13;2;50.0;1;60014
